main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate,rating
Center Defensive Midfield,16586,Fernando Lucas Martins,Sampdoria,234,3178,53.398058252427184,50.34246575342467,40.767494356659135,64.75409836065573,41.3189077794951,27.200000000000003,60.22727272727272,52.38095238095239,11.627906976744187,38.81711748082357,46.010022386829306
Center Defensive Midfield,20169,Seydou Kéita,AS Roma,229,1495,23.78640776699029,18.66438356164383,25.733634311512414,9.836065573770492,24.88408037094282,17.200000000000003,81.06060606060606,28.57142857142857,0.0,54.339927331449324,24.162431477261556
Right Defensive Midfield,20636,Mirko Gori,Frosinone,291,2432,27.669902912621357,64.55479452054794,85.95936794582393,15.573770491803279,20.91705306543019,53.2,75.37878787878786,0.0,0.0,38.9987888574889,44.05537138040923
Left Defensive Midfield,23349,Paolo Sammarco,Frosinone,291,2331,25.242718446601938,25.85616438356164,53.408577878103834,29.098360655737704,25.19319938176198,28.800000000000004,31.060606060606055,71.42857142857143,6.976744186046512,40.694388373031884,36.36592043486962
Center Defensive Midfield,25345,Anderson Hernanes de Carvalho Andrade,Juventus,224,928,38.34951456310679,46.57534246575342,20.496613995485326,49.18032786885246,30.96342091705307,26.8,77.65151515151514,42.857142857142854,20.930232558139533,53.57287040775132,37.453931081586575
Center Defensive Midfield,25430,Felipe Melo de Carvalho,Inter Milan,238,1966,33.495145631067956,22.260273972602736,26.817155756207672,14.344262295081966,29.314786192684185,36.8,51.5151515151515,19.04761904761905,9.30232558139535,31.57044812272911,28.078473040284795
Center Defensive Midfield,25954,Enzo Maresca,Palermo,2256,935,15.048543689320384,68.83561643835617,26.094808126410836,32.786885245901644,70.17001545595053,53.2,26.136363636363637,42.857142857142854,0.0,71.86112232539362,48.57646732379446
Left Defensive Midfield,26728,Alberto Facundo Costa,Fiorentina,239,1406,16.504854368932037,51.54109589041096,40.22573363431152,41.80327868852459,64.81195260175167,4.3999999999999995,53.78787878787878,0.0,0.0,45.72062979410577,36.801999547612986
Center Defensive Midfield,30704,Gastón Brugman,Palermo,2256,931,38.34951456310679,92.63698630136987,80.94808126410835,56.9672131147541,51.67439464193714,34.4,62.878787878787875,0.0,20.930232558139533,34.51756156641099,56.03401417272707
Center Defensive Midfield,30735,Mato Jajalo,Palermo,2256,2237,32.52427184466019,64.2123287671233,53.49887133182843,27.04918032786885,23.905203503348787,24.4,56.43939393939392,0.0,0.0,32.47880500605571,38.7072864166556
