main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90,rating
Left Center Forward,5472,Mario Mandžukić,Juventus,224,2234,27.27272727272727,57.377049180327866,36.03603603603604,35.56017260668052,38.93805309734514,71.24923076923076,15.172413793103448,39.02439024390244,44.44444444444445,34.95145631067962,67.72962048057491,91.67,20.574162679425832,14.419475655430713,57.66732561423328,11.083743842364532,57.14285714285714,39.69731238162493
Center Forward,5497,Gonzalo Gerardo Higuaín,Napoli,227,3263,69.31818181818181,93.44262295081967,89.18918918918918,46.73166054019499,50.8849557522124,73.84615384615385,36.896551724137936,12.195121951219514,11.111111111111112,52.91262135922331,51.178980462609466,30.769999999999996,11.722488038277511,38.10861423220974,74.21632307257838,26.600985221674883,22.487607030193782,59.19621646150909
Right Center Forward,5661,M''Baye Babacar Niang,AC Milan,243,1402,26.136363636363637,44.26229508196721,28.82882882882883,32.859197698577596,25.221238938053105,51.729230769230774,64.13793103448276,29.268292682926827,0.0,21.35922330097088,83.49427352346734,0.0,32.775119617224874,72.37827715355806,49.4210674950579,64.03940886699509,42.27129337539432,35.95547001064865
Left Center Forward,5688,Carlos Arturo Bacca Ahumada,AC Milan,243,3373,37.49999999999999,54.0983606557377,43.24324324324324,58.46252197538756,41.59292035398231,67.34769230769231,26.55172413793104,12.195121951219514,11.111111111111112,43.20388349514565,66.74152256905457,66.67,4.545454545454543,28.558052434456933,58.99463428410054,36.69950738916256,29.15727805317711,40.68680355462731
Right Center Forward,5743,Paulo Bruno Exequiel Dybala,Juventus,224,2698,46.590909090909086,67.21311475409836,56.75675675675676,44.158542432475635,97.34513274336283,60.08615384615384,71.0344827586207,73.17073170731707,16.666666666666664,92.2330097087379,69.90792724006289,25.0,49.043062200956925,85.67415730337079,73.3691047726631,84.97536945812809,47.85939612438035,61.36651956122462
Center Forward,6334,Luis Fernando Muriel Fruto,Sampdoria,234,1774,21.59090909090909,47.540983606557376,27.027027027027025,32.26785999680358,49.11504424778762,58.91692307692308,78.6206896551724,60.97560975609756,27.77777777777778,41.74757281553399,70.35706265439029,80.0,36.602870813397125,63.389513108614224,59.1640779440836,63.54679802955666,44.34429923388913,43.64655963943871
Center Forward,6686,Giampaolo Pazzini,Hellas Verona,226,1873,44.31818181818181,13.114754098360656,25.225225225225223,26.817963880453892,14.159292035398233,64.77538461538462,16.551724137931036,0.0,0.0,15.533980582524276,48.91084662025601,28.57,56.937799043062185,18.53932584269663,41.03360632589665,30.295566502463057,46.82289319513294,23.71546057210291
Center Forward,6948,Sergio Floccari,Bologna,240,1399,19.318181818181817,65.57377049180327,34.234234234234236,55.60172606680518,30.973451327433626,79.12615384615385,59.6551724137931,14.634146341463413,0.0,30.58252427184466,23.871547271502365,33.33,45.21531100478468,36.985018726591754,75.54363174244565,76.84729064039409,79.22487607030195,44.95221327528184
Center Forward,6973,Edin Džeko,AS Roma,229,1969,60.22727272727273,1.6393442622950831,32.43243243243243,29.742688189228062,29.20353982300885,63.04,32.758620689655174,43.90243902439025,22.222222222222225,23.300970873786415,45.65461486638221,82.76,44.73684210526315,30.711610486891384,40.86416266591358,35.22167487684729,35.37629562866156,30.08675704899815
Center Forward,6987,Mauro Emanuel Icardi Rivero,Inter Milan,238,3005,32.95454545454545,60.655737704918025,42.342342342342334,33.322678599968036,31.858407079646017,50.68307692307692,6.896551724137931,26.82926829268293,11.111111111111112,29.126213592233018,51.605659106220536,61.9,17.46411483253588,4.49438202247191,60.1242586839876,12.80788177339901,25.86750788643533,37.746006738227436
Right Center Forward,7011,Fabio Quagliarella,Sampdoria,234,2727,28.40909090909091,32.78688524590164,23.423423423423422,39.843375419530126,17.25663716814159,65.63692307692307,17.931034482758623,7.317073170731707,0.0,17.475728155339812,35.841006063328095,25.0,25.358851674641148,15.355805243445694,45.80626941541938,37.4384236453202,60.29743127534925,26.79924164373995
Right Center Forward,7017,Duván Esteban Zapata Banguera,Udinese,230,1406,43.18181818181818,52.45901639344262,45.945945945945944,9.972830429918494,19.46902654867257,52.75076923076924,33.10344827586207,29.268292682926827,0.0,15.04854368932039,98.24837188412306,59.089999999999996,58.61244019138756,48.127340823970044,38.60491386613952,68.4729064039409,47.22848129788193,42.25671498773303
Center Forward,7033,Nikola Kalinić,Fiorentina,239,2337,56.81818181818181,24.59016393442623,41.44144144144144,33.914016301742045,21.68141592920354,71.79076923076923,18.275862068965516,26.82926829268293,61.111111111111114,17.96116504854369,43.027172692566815,62.5,65.07177033492822,23.782771535580522,80.99406947190062,10.344827586206897,50.96890491212257,36.738816184915045
Left Center Forward,7043,Roberto Inglese,Chievo,231,1313,10.227272727272728,47.540983606557376,18.01801801801802,12.881572638644723,27.43362831858407,74.91692307692307,32.758620689655174,14.634146341463413,33.33333333333333,26.699029126213595,22.007635302043575,80.0,52.39234449760766,15.168539325842698,48.43264614515675,51.724137931034484,63.94772420009013,32.63107817093724
